ID;Item Number;Suffix 1;Suffix 2;ItemNo;Device Type;Manufacturer;Delimiter;Part Number;Major Functions;Horizontal/Vertical;Rack/Panel;RU;Zones of Protection;Power Supply Voltage;Control Voltage;AC/DC Control Voltage;AC Current Input;AC Voltage Input;Standard Inputs 1;Standard Input Type 1;Standard Inputs 2;Standard Input Type 2;Standard Outputs 1;Standard Output Type 1;Standard Outputs 2;Standard Output Type 2;Additional Board 1;Board 1 Additional Inputs 1;Board 1 Additional Input Type 1;Board 1 Additional Inputs 2;Board 1 Additional Input Type 2;Board 1 Additional Outputs 1;Board 1 Additional Output Type 1;Board 1 Additional Outputs 2;Board 1 Additional Output Type 2;Additional Board 2;Board 2 Additional Inputs 1;Board 2 Additional Input Type 1;Board 2 Additional Inputs 2;Board 2 Additional Input Type 2;Board 2 Additional Outputs 1;Board 2 Additional Output Type 1;Board 2 Additional Outputs 2;Board 2 Additional Output Type 2;Additional Board 3;Board 3 Additional Inputs 1;Board 3 Additional Input Type 1;Board 3 Additional Inputs 2;Board 3 Additional Input Type 2;Board 3 Additional Outputs 1;Board 3 Additional Output Type 1;Board 3 Additional Outputs 2;Board 3 Additional Output Type 2;User Interface;Communications;Coil Operation Voltage;AC/DC Coil Operation Voltage;Handle Style;Spring Return/Maintain;Qty of Decks;Meter Form;Number of Phases;Number of Wires;Test Switch Arrangement;Test Switch Arrangement A;Test Switch Arrangement B;Test Switch Arrangement C;Test Switch Cover;Lamp Voltage;AC/DC Lamp Voltage;Lamp color;Lens color;Catalog cut included;Length;Length Unit;Comm Int Type 1;Comm Int Qty 1;Comm Int Type 2;Comm Int Qty 2;Comm Int Type 3;Comm Int Qty 3;Comm Int Type 4;Comm Int Qty 4;Comm Int Type 5;Comm Int Qty 5;Comm Int Type 6;Comm Int Qty 6;Comm Int Type 7;Comm Int Qty 7;Comm Int Type 8;Comm Int Qty 8;Reset;Common Material;Need to add to ACADE Cat;Need to add Footprint for ACADE;Inventory Quantity;Inventory Location;Photo on file;Itemize Price;Short Name;Status;StatusReason;WnSingleAll;WnSingleTerm;Wn2Wire;Wn3Wire;WnAWGRec;WnAWGRecAll;WnAWGRecTerms;WnTSPAll;WnTSPTerms;WnTerm;WnTermBlank;WnJumperItem;WnJumperUse;WnGround;WnOther
99;130;;;130;Panel Material;;;;Outdoor relay cabinet, aluminum, 65' high x 48' wide x 30' deep, NEMA 3R enclosure, per drawings;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
101;1;;;1;Relay;SEL;;0311C11HP3D5221;Distance relay;Horizontal;Rack;3;4;48/125V DC or 120V AC;48;DC;5;300;6;optoisolated inputs;;;3;high current outputs;5;outputs;;8;inputs;;;12;outputs;;;;;;;;;;;;;;;;;;;;;Programmable Pushbuttons;Standard;;;;;;;;;;;;;;;;;;1;;;EIA-232 DB9;2;EIA-485 terminal block;1;100Base-FX MM LC;1;BNC IRIG;1;USB B;1;;;;;;;;0;1;1;;;0;1;SEL-311C RELAY;;;0;;0;0;;0;;0;;;0;;;;
102;106;A;;106A;Panel Material;;;;Switchboard wire, tinned #18 AWG, stranded, 30 mils of cross-linked polyethylene insulation, Underwriters Lab type SIS, flame resistance VW-1 rating, gray color, 600V, 90�C, for annunciator wiring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;1;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
103;3;A;;3A;Relay;SEL;;0587002X5B1;Current differential relay, with bracket on right side in front view;Horizontal;Rack;2;;48/125V DC or 125V AC;48;DC;5;;2;inputs;;;5;outputs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hard-wired Pushbuttons;Standard;;;;;;;;;;;;;;;;;;1;;;EIA-232 DB9;1;;;;;;;;;;;;;;;;0;1;1;;;0;1;SEL-587 RELAY;;;0;;0;0;;0;;0;;;0;;;;
104;130;A;;130A;Panel Material;;;;Stainless steel door handle assembly with 3 point latch per drawings;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
105;130;B;;130B;Panel Material;;;;Removable insect screen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
106;135;B;;135B;Miscellaneous;Hoffman;;LEDA20C;LED light input connector, AC source, 78.7' long;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;1;Basement cage;0;0;;OBSOLETE;Replace with item 135G, CEL500, CELCN1;0;;0;0;;0;;0;;;0;;;;
107;135;C;;135C;Miscellaneous;Hoffman;;LEDA10E;LED light extension connector, AC source, 39.4' long;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;OBSOLETE;Replace with item 135G, CEL500, CELCN1;0;;0;0;;0;;0;;;0;;;;
108;135;D;;135D;Panel Material;;;;Light mounting channel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
109;140;;;140;Panel Material;;;;Wire markers, all conductors used for internal wiring shall be tagged with the wire name and destination at both ends;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;1;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
110;132;B;;132B;Miscellaneous;Hoffman;;AFLTAD;Filter spray adhesive;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;OBSOLETE;discontinued & no longer needed;0;;0;0;;0;;0;;;0;;;;
111;31;;;31;Rotary Switch;Electroswitch;;24203B;Selector switch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oval;Maintain;3;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;1;ELECTROSWITCH SELECTOR SWITCH;;;0;;0;0;;0;;0;;;0;;;;
112;1;A;;1A;Relay;SEL;;0311C10HH3D52X1;Distance relay;Horizontal;Rack;2;4;48/125V DC or 120V AC;48;DC;5;300;6;optoisolated inputs;;;3;high current outputs;5;outputs;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hard-wired Pushbuttons;Standard;;;;;;;;;;;;;;;;;;1;;;EIA-232 DB9;2;EIA-485 terminal block;1;100Base-FX MM LC;1;BNC IRIG;1;;;;;;;;;;0;1;1;;;0;1;SEL-311C RELAY;;;0;;0;0;;0;;0;;;0;;;;
113;32;;;32;Rotary Switch;SEL;;951021A2;Control switch module with open/close push buttons, indicator lights, and configurable labels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;1;SEL-9510 CONTROL SWITCH MODULE;;;0;;0;0;;0;;0;;;0;;;;
114;11;;;11;Clock/Comm. Proc./Revenue Meter;SEL;;24070001B, C965-010, 915900139;Satellite clock with blank bracket on right side, GPS antenna with 75' of cable, gas tube coaxial surge protector and mounting kit, 10' RG-8X cable;Horizontal;Rack;1;;18-300V DC or 85-264V AC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;EIA-232 DB9;1;BNC IRIG;7;TNC;1;;;;;;;;;;;;0;1;1;;;0;1;SEL-2407 SATELLITE CLOCK;;;0;;0;0;;0;;0;;;0;;;7;
115;11;A;;11A;Clock/Comm. Proc./Revenue Meter;SEL;;24070001B;Satellite clock with blank bracket on right side, GPS antenna with 75' of cable;Horizontal;Rack;1;;18-300V DC or 85-264V AC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;EIA-232 DB9;1;BNC IRIG;7;TNC;1;;;;;;;;;;;;0;1;1;;;0;1;SEL-2407 SATELLITE CLOCK;;;0;1 - 6;0;0;;0;;0;;No;0;;;7;
116;11;B;;11B;Clock/Comm. Proc./Revenue Meter;SEL;;915900139;Gas tube coaxial surge protector 200-2005 and mounting bracket 200-2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;TNC;2;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
117;11;C;;11C;Clock/Comm. Proc./Revenue Meter;SEL;;C965-010;RG-8X, TNC male to TNC male cable, 50O, 10';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
118;11;D;;11D;Clock/Comm. Proc./Revenue Meter;SEL;;240-1800;BNC terminator, 50O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
120;51;;;51;Display Meter/Transducer;SEL;;252302H130XC0XX;Annunciator panel;Horizontal;Rack;5;;24/48V DC;48;DC;;;42;optoisolated inputs;;;11;outputs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hard-wired Pushbuttons;Standard plus DNP 3.00 Level 2 Slave;;;;;;;;;;;;;;;;;;1;;;EIA-232 DB9;2;IRIG terminal block;1;;;;;;;;;;;;;;0;1;1;;;0;1;SEL-2530 ANNUNCIATOR;;;0;;0;0;;0;;0;;;0;;;;
121;1;B;;1B;Relay;SEL;;0311C11HR3E5221;Distance relay;Horizontal;Rack;3;4;48/125V DC or 120V AC;48;DC;5;300;6;optoisolated inputs;;;3;high current outputs;5;outputs;;8;inputs;;;12;outputs;;;;;;;;;;;;;;;;;;;;;Hard-wired pushbuttons;Standard;;;;;;;;;;;;;;;;;;1;;;EIA-232 DB9;2;EIA-485 terminal block;1;10/100Base-T;2;BNC IRIG;1;USB B;1;;;;;;;;0;1;1;;;0;1;SEL-311C RELAY;;;0;;0;0;;0;;0;;;0;;;;
122;10;;;10;Clock/Comm. Proc./Revenue Meter;Landis & Gyr;;4900302A-0B37;Revenue meter, RXR S4e Form 9S with modem with KYZ, socket base, Class 20, 40-140V L-N metering voltage, 60 Hz, 4 KYZ outputs, with modem;;;;;120V AC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Form 9S (4-wire wye;3 PTs, 3 CTs);;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
123;10;A;;10A;Clock/Comm. Proc./Revenue Meter;Landis & Gyr;;4900000A-0B37;Revenue meter, RXR S4e Form 9S, socket base, Class 20, 40-140V L-N metering voltage, 60 Hz, with modem;;;;;120V AC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Form 9S (4-wire wye;3 PTs, 3 CTs);;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
124;10;C;;10C;Clock/Comm. Proc./Revenue Meter;Durham;;1008315;Meter socket and ring, 13 circuit CLS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
125;10;D;;10D;Clock/Comm. Proc./Revenue Meter;Landis & Gyr;;;Mating cable for revenue meter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
126;13;;;13;Clock/Comm. Proc./Revenue Meter;SEL;;3530HB0BX211X0XXXXXX;Real-time automation controller (RTAC) 17 communication ports for communicating selectively w127;80;;;80;Auxiliary Instrument/Transformer/Signal Conditioner;Potter & Brumfield;;KRPA-11DG-48;Auxiliary relay;;;;;;;;;;;;;;2;form C outputs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;DC;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;1;Basement cage;1;0;;;;0;;0;0;;0;;0;;;0;;;;ver: SEL, DNP3, Modbus, L&G 8979, SES-92, IEC 60870-5-101/104, C37.118 Synchrophasors, CDC Type II Peer-to-Peer: Mirrored Bits, Network Global Variable List (NGVL);;;;;;;;;;;;;;;;;;0;;;EIA-232/EIA-485 DB9;16;EIA-232/EIA-485 terminal block;1;BNC IRIG In;1;BNC IRIG Out;1;IRIG terminal block;1;10/100Base-T;2;USB A;1;USB B;1;;0;1;1;;;0;1;SEL-3530 RTAC;NOT RECOMMENDED;Legacy P/N - use 13L;0;A01-A08;0;0;;0;;0;COM17;;0;;;;
128;80;A;;80A;Auxiliary Instrument/Transformer/Signal Conditioner;Potter & Brumfield;;27E122;Mounting socket for auxiliary relay, screw terminals, 8 pin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;1;Basement cage;1;0;;;;0;;0;0;;0;;0;;;0;;;;
129;14;A;;14A;Clock/Comm. Proc./Revenue Meter;SEL;;2242R1X0;Axion chassis/backplane 10 slot;Horizontal;Rack;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;1;SEL-2242 AXION BACKPLANE;;;0;;0;0;;0;;0;;;0;;;;Connect the chassis ground terminal to the ground bus. See New Madrid DWG. 4350 for an example.
130;14;B;;14B;Clock/Comm. Proc./Revenue Meter;SEL;;2241X0X211X0XXXXXX;Axion RTAC module;;;;;;;;;;;;;;;;;;;;;;;1;output;;;;;;;;;;;;;;;;;;;;;;Client: SEL, DNP3, Modbus, IEC 60870-5-101/104, C37.118 Synchrophasors, L&G 8979, CP2179, SNMP Server: SEL, DNP3, Modbus, L&G 8979, SES-92, IEC 60870-5-101/104, C37.118 Synchrophasors, CDC Type II Peer-to-Peer: Mirrored Bits;;;;;;;;;;;;;;;;;;1;;;EIA-232/EIA-485 DB9;4;10/100Base-T;2;BNC IRIG In;1;BNC IRIG Out;1;USB B;1;;;;;;;;0;1;1;;;0;1;SEL-2241 RTAC MODULE;NOT RECOMMENDED;Legacy - consider 14R;0;;0;0;;0;;0;;;0;;;;
131;14;C;;14C;Clock/Comm. Proc./Revenue Meter;SEL;;224321X0, C627F-003;Axion power module and EtherCAT cable, shielded, with RJ45 connector at each end;;;;;24/48V DC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;feet;10/100Base-T for EtherCAT;2;;;;;;;;;;;;;;;;0;1;1;;;0;1;SEL-2243-2 24/48V DC POWER MODULE;;;1;;0;0;;0;;0;;No;0;;;;
132;14;D;;14D;;SEL;;915900240;Wetting voltage kit Twenty four - 4 prong jumpers For use with Axion digital input module;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
133;14;E;;14E;Clock/Comm. Proc./Revenue Meter;SEL;;22442222X0;Axion digital input module;;;;;;48;DC;;;24;inputs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;1;SEL-2244-2 48V DC DIGITAL INPUT MODULE;;;1;;0;0;;0;;0;;No;0;14D;extending status common to independent inputs;;
134;14;F;;14F;Clock/Comm. Proc./Revenue Meter;SEL;;22443131X0;Axion digital output module;;;;;;;;;;;;;;16;form A outputs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;1;SEL-2244-3 16 DIGITAL OUTPUT MODULE;;;1;;0;0;;0;;0;;No;0;;;;
135;14;G;;14G;Clock/Comm. Proc./Revenue Meter;SEL;;22445151X0;Axion digital output module;;;;;;;;;;;;;;10;high speed - high current outputs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;1;SEL-2244-5 10 FAST HC DIGITAL OUTPUT MODULE;;;1;;0;0;;0;;0;;No;0;;;;Include note on wiring diagram above Axion chassis: PANEL MANUFACTURER TO REMOVE SEL JUMPER BARS FROM HIGH CURRENT OUTPUT CARDS.
136;14;H;;14H;Clock/Comm. Proc./Revenue Meter;SEL;;22442121X0;Axion digital input module;;;;;;24;DC;;;24;inputs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;1;SEL-2244-2 24V DC DIGITAL INPUT MODULE;;;1;;0;0;;0;;0;;No;0;14D;extending status common to independent inputs;;
137;90;;;90;Miscellaneous;;;;9-pin male D-sub connector with crimp-and-insert contacts, complete with cover;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
138;112;;;112;Miscellaneous;Phoenix;;RT 5 BU 3049123;Terminal block point146;92;;;92;Miscellaneous;;;;Resistor, 1/4 Watt, 150O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;1;0;1;100;File cabinet outside Barton's office;0;0;;;;0;;0;0;;0;;0;;;0;;;;0V DC or 55-240V AC, with monitoring;;;5;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DNP with RS-485;;;;;;;3;4;;;;;;;;;;1;;;EIA-232/EIA-485 terminal block;1;service-only RJ45;1;;;;;;;;;;;;;;0;1;1;;;0;1;BITRONICS M650 METER;;;0;;0;0;;0;;0;;;0;;;;r offered. Use items 37B & 37C instead.;0;;0;0;;0;;0;;;0;;;;
147;100;;;100;Miscellaneous;Square D;;9080LBA262101;Terminal block, 2-point, 600 V, 175A, #14 to 2/0 lug;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
148;118;;;118;Panel Material;Southco;;;Flip turn door handle, size as required Finish: Polished chrome;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
149;43;;;43;Test Switch;ABB;Type FT-19R;FRXG 026 000 026;Test switch, 30-pole;;Rack;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P,C-C,P,C-C,P,C-C,P;Cover plate over cutout;P,C-C,P,C-C,P,C-C,P;Full length, clear;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
150;13;A;;13A;Clock/Comm. Proc./Revenue Meter;SEL;;3610XHB0XXX0;Port server;Horizontal;Rack;1;;48/125V DC, 120V AC;;;;;1;input;;;1;output;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;EIA-232/EIA-485 DB9;16;EIA-232/EIA-485 terminal block;1;10/100Base-T;2;BNC IRIG In;1;BNC IRIG Out;1;IRIG terminal block;1;USB A;1;USB B;1;;0;1;1;;;0;1;SEL-3610 PORT SERVER;;;0;1-8;0;0;;0;;0;COM17;;0;;;;
151;125;;;125;Miscellaneous;Mean Well;;RSD-150C-24;DC-DC converter, 150W Input: 33.6-62.4V DC Output: 24V DC, 6.3A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
152;163;B;;163B;Panel Material;;;;Subpanel;;Rack;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
153;166;C;;166C;Panel Material;;;;Revenue meter plate, per drawing;;Rack;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
154;31;B;;31B;Rotary Switch;;;;Cutout & cover for SEL rotary switch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
155;1;C;;1C;Relay;SEL;;0311C11HH3E5221;Distance relay;Horizontal;Rack;3;4;48/125V DC, 120V AC;48;DC;5;300;6;optoisolated inputs;;;3;high current outputs;5;outputs;;8;inputs;;;12;outputs;;;;;;;;;;;;;;;;;;;;;Hard-wired Pushbuttons;Standard;;;;;;;;;;;;;;;;;;1;;;EIA-232 DB9;2;EIA-485 terminal block;1;10/100Base-T;2;BNC IRIG;1;USB B;1;;;;;;;;0;1;1;;;0;1;SEL-311C RELAY;;;0;;0;0;;0;;0;;;0;;;;
156;12;A;;12A;Clock/Comm. Proc./Revenue Meter;SEL;;0735VX00944CXXXXXX16101XX;Revenue meter;Vertical;Panel;;;125/250V DC or AC;125;AC/DC;22;300;2;inputs;;;3;outputs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Standard;;;;;;Form 9 (4-wire wye;3 PTs, 3 CTs);;;;;;;;;;;;1;;;EIA-232 DB9;2;10/100Base-T;1;IRIG terminal block;1;Optical;1;;;;;;;;;;0;1;1;;;0;1;SEL-735 REVENUE METER;;;0;A01-A12, Z07-Z10;0;0;;0;;0;;;0;;;;
157;13;B;;13B;Clock/Comm. Proc./Revenue Meter;SEL;;3530HB2BX211X0XXXXXX;Real-time automation controller (RTAC);Horizontal;Rack;3;;48/125V DC or 120V AC;48;DC;;;1;input;;;1;output;;;;24;inputs;;;8;outputs;;;;;;;;;;;;;;;;;;;;;;Client: SEL, DNP3, Modbus, C37.118 Synchrophasors, L&G 8979, CP2179 Server: SEL, DNP3, Modbus, L&G 8979, SES-92, IEC 60870-5-101/104, C37.118 Synchrophasors Peer-to-Peer: Mirrored Bits, Network Global Variable List (NGVL);;;;;;;;;;;;;;;;;;1;;;EIA-232/EIA-485 DB9;16;EIA-232/EIA-485 terminal block;1;BNC IRIG In;1;BNC IRIG Out;1;100Base-FX MM LC;2;USB A;1;USB B;1;;;;0;1;1;;;0;1;SEL-3530 RTAC;;;0;A01-A08;0;0;;0;;0;COM17;;0;;;;
158;49;A;;49A;Test Switch;ABB;Type FT-1;C129A501G01;Test switch, 10-pole;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P,P,P,P,P,P,P,P,P,P;;;;Clear;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;167;119;;;119;Panel Material;McMaster-Carr;;11855A34;Snap-close hooks (panel tag hook);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;WITCH;;;0;;0;0;;0;;0;;;0;;;;
168;137;A;;137A;Miscellaneous;Stego;;01172.0-01;Temperature alarm device, dual thermostat, Fahrenheit scale, 32-140�F setting range, 1 NO / 1 NC contacts, DIN rail mount;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
169;136;B;;136B;Panel Material;;;;DIN rail (35mm), 10 inches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
170;80;B;;80B;Auxiliary Instrument/Transformer/Signal Conditioner;Potter & Brumfield;;KRPA-11AG-120;Auxiliary relay;;;;;;;;;;;;;;2;form C outputs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;AC;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
171;35;B;;35B;Rotary Switch;Electroswitch;Series 24;7828CC;Lock-out relay;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;DC;Oval;;8;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;Electric;0;1;1;;;0;1;ELECTROSWITCH LOCKOUT RELAY;;;0;A, B, G, H;0;0;;0;;0;;;0;;;;
172;122;;;122;Panel Material;;;;Shipping pallet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
173;12;B;;12B;Clock/Comm. Proc./Revenue Meter;SEL;;0735VX00944FXXXXXX16101XX;Revenue meter;Vertical;Panel;;;125/250V DC or AC;125;AC;22;300;2;inputs;;;3;outputs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SEL ASCII, SEL LMD, SEL Fast Meter, SEL Compressed ASCII, MV-90 Translation, Modbus RTU/TCP, Mirrored Bits Communications, Telnet, DNP3 Level 2 Outstation and LAN/WAN, and Synchrophasors;Standard Communications Protocols;;;;;;Form 9 (4-wire wye;3 PTs, 3 CTs);;;;;;;;;;;;1;;;EIA-232 DB9;2;100Base-FX MM LC;1;IRIG terminal block;1;Optical;1;;;;;;;;;;0;1;1;;;0;1;SEL-735 REVENUE METER;;;0;A01-A12, Z07-Z10;0;0;;0;;0;;;0;;;;
